riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs357504-?	3E-8	-	NR	0.94	-	-	ARHGEF26	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:154239068	38072966	"Al-Ali AK"
rs789294-?	1E-8	-	NR	0.9401	-	-	GPR149	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:154339952	38072966	"Al-Ali AK"
rs4266144-?	2E-6	-	NR	0.9626	-	-	LINC00881	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:157134803	38072966	"Al-Ali AK"
rs10513507-?	9E-7	-	NR	0.9631	-	-	VEPH1,LINC00881	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:157265953	38072966	"Al-Ali AK"
rs35263143-?	1E-6	-	NR	1.0395	-	-	FNDC3B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:172401342	38072966	"Al-Ali AK"
rs74823357-?	5E-6	-	NR	1.1143	-	-	LINC02026	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	3:193995334	38072966	"Al-Ali AK"
chr3:15143886-?	2E-7	-	NR	0.7544	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:137665865-?	6E-7	-	NR	0.0971	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:31374051-?	5E-6	-	NR	0.2949	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:156942987-?	3E-6	-	NR	0.1595	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:62340743-?	8E-6	-	NR	0.7868	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:68956868-?	2E-6	-	NR	0.7715	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:69134034-?	4E-7	-	NR	0.112	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:123506688-?	8E-6	-	NR	0.5018	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:149559460-?	5E-7	-	NR	1.5699	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:149725353-?	4E-7	-	NR	1.5675	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:159176512-?	5E-6	-	NR	0.1994	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:177375924-?	8E-6	-	NR	0.791	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:9027187-?	6E-6	-	NR	0.2469	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:11424743-?	6E-6	-	NR	0.165	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:78103458-?	8E-6	-	NR	0.7818	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:36515903-?	7E-6	-	NR	0.0838	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:78096396-?	2E-6	-	NR	5.3983	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:142935959-?	1E-5	-	NR	0.2399	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:97991259-?	1E-6	-	NR	0.2884	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:137325872-?	8E-7	-	NR	0.0144	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:7035426-?	3E-6	-	NR	3.124	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:37144333-?	6E-6	-	NR	0.1633	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:55960494-?	4E-7	-	NR	0.6786	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:79178603-?	3E-6	-	NR	4.1728	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:94525719-?	2E-6	-	NR	0.1686	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr10:118546590-?	2E-6	-	NR	1.2484	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:34370305-?	6E-6	-	NR	0.1313	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:35162332-?	5E-6	-	NR	0.4448	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:57650640-?	3E-7	-	NR	0.5709	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:60288924-?	9E-6	-	NR	0.3567	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:60713222-?	7E-6	-	NR	0.4876	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:88056810-?	5E-6	-	NR	2.0959	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:88307664-?	4E-7	-	NR	0.1887	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:132907517-?	8E-6	-	NR	1.7914	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:21955940-?	2E-6	-	NR	0.4341	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:148537430-?	6E-6	-	NR	4.0925	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr3:39804173-?	7E-6	-	NR	0.1588	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:2215310-?	3E-6	-	NR	0.7004	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:3474635-?	9E-6	-	NR	1.639	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:14284076-?	8E-6	-	NR	1.4258	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:66864631-?	4E-6	-	NR	0.8126	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:120426616-?	4E-6	-	NR	1.2842	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr8:124203203-?	5E-6	-	NR	3.0266	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:2940701-?	5E-6	-	NR	0.3005	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:22121349-?	4E-8	-	NR	1.2983	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:30618549-?	2E-8	-	NR	4.831	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:30722536-?	9E-7	-	NR	3.7546	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:116529768-?	5E-6	-	NR	0.5667	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:116872364-?	9E-6	-	NR	0.7291	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr9:82891810-?	4E-7	-	NR	2.1942	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:157076922-?	6E-6	-	NR	1.3379	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:166855471-?	8E-6	-	NR	0.7521	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:169619689-?	3E-6	-	NR	0.7841	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:179336354-?	6E-6	-	NR	0.7827	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr4:181720282-?	5E-6	-	NR	1.272	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:8560085-?	8E-6	-	NR	0.0659	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:55424472-?	4E-7	-	NR	1.2459	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr20:41423498-?	4E-6	-	NR	0.7159	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr21:35599128-?	8E-8	-	NR	1.3759	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr21:37675498-?	1E-6	-	NR	0.7232	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr22:22248515-?	2E-7	-	NR	0.6512	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
rs12135288-?	4E-6	-	NR	0.965	-	-	SPATA21	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:16412260	38072966	"Al-Ali AK"
rs6703312-?	9E-7	-	NR	1.07	-	-	AHDC1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:27562652	38072966	"Al-Ali AK"
rs12044682-?	8E-6	-	NR	0.9603	-	-	ACTN4P2,EPHA10	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:37775389	38072966	"Al-Ali AK"
rs35267671-?	2E-6	-	NR	0.9642	-	-	INPP5B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:37931697	38072966	"Al-Ali AK"
rs1180279-?	5E-6	-	NR	0.9613	-	-	NT5C1A,HEYL	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:39643732	38072966	"Al-Ali AK"
NA-?	2E-16	-	NR	1.3379	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	-	38072966	"Al-Ali AK"
rs6663252-?	4E-6	-	NR	1.0494	-	-	USP24	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:55164478	38072966	"Al-Ali AK"
rs9970807-?	2E-14	-	NR	1.1033	-	-	PLPP3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:56499992	38072966	"Al-Ali AK"
rs72711827-?	4E-7	-	NR	1.1925	-	-	LINC01362,ADGRL2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:82542105	38072966	"Al-Ali AK"
rs559139-?	9E-6	-	NR	0.9357	-	-	SELENOF	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:86879810	38072966	"Al-Ali AK"
rs12743267-?	2E-8	-	NR	1.0497	-	-	SLC44A3-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:94783750	38072966	"Al-Ali AK"
rs12740374-?	6E-30	-	NR	1.1073	-	-	CELSR2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:109274968	38072966	"Al-Ali AK"
rs1230666-?	3E-7	-	NR	1.0598	-	-	MAGI3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:113630788	38072966	"Al-Ali AK"
rs11102702-?	2E-6	-	NR	0.9537	-	-	DCLRE1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:113908342	38072966	"Al-Ali AK"
rs12143614-?	5E-7	-	NR	0.9393	-	-	SETDB1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:150960220	38072966	"Al-Ali AK"
rs6587571-?	4E-6	-	NR	0.9591	-	-	SELENBP1,PSMB4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:151380571	38072966	"Al-Ali AK"
rs12035531-?	1E-7	-	NR	1.0627	-	-	TUFT1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:151567576	38072966	"Al-Ali AK"
rs11810571-?	7E-10	-	NR	0.9431	-	-	TDRKH	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:151789832	38072966	"Al-Ali AK"
rs6689306-?	7E-10	-	NR	1.0473	-	-	IL6R	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:154423470	38072966	"Al-Ali AK"
rs6686750-?	4E-10	-	NR	1.0473	-	-	IL6R	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:154447367	38072966	"Al-Ali AK"
rs12563307-?	1E-6	-	NR	1.0463	-	-	CRB1,DENND1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:197484073	38072966	"Al-Ali AK"
rs12133885-?	8E-7	-	NR	1.0466	-	-	DENND1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:197623438	38072966	"Al-Ali AK"
rs1891497-?	3E-6	-	NR	0.9577	-	-	EEF1A1P32,DENND1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:197690425	38072966	"Al-Ali AK"
rs12118454-?	3E-6	-	NR	1.0461	-	-	C1orf53,DENND1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:197841519	38072966	"Al-Ali AK"
rs12126676-?	7E-6	-	NR	0.9667	-	-	DDX59	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:200631692	38072966	"Al-Ali AK"
rs12735702-?	7E-6	-	NR	0.9459	-	-	CAMSAP2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:200846799	38072966	"Al-Ali AK"
rs2820309-?	9E-8	-	NR	0.9589	-	-	IPO9	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:201865816	38072966	"Al-Ali AK"
rs17509774-?	7E-6	-	NR	1.0517	-	-	HHIPL2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:222537889	38072966	"Al-Ali AK"
rs35700460-?	3E-23	-	NR	0.9204	-	-	MIA3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:222638065	38072966	"Al-Ali AK"
rs28521319-?	2E-17	-	NR	0.9323	-	-	DISP1,FAM177B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:222762689	38072966	"Al-Ali AK"
rs1807991-?	9E-6	-	NR	0.9611	-	-	C1orf202,COX20	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	1:244764449	38072966	"Al-Ali AK"
rs4927620-?	2E-6	-	NR	0.9646	-	-	TPO	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:1500920	38072966	"Al-Ali AK"
rs16986953-?	3E-10	-	NR	0.9222	-	-	CISD1P1,LINC01808	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:19742712	38072966	"Al-Ali AK"
rs934197-?	1E-6	-	NR	0.9616	-	-	APOB,TDRD15	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:21044589	38072966	"Al-Ali AK"
rs12997242-?	5E-7	-	NR	0.9631	-	-	TDRD15,NUTF2P8	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:21158305	38072966	"Al-Ali AK"
rs13402621-?	6E-9	-	NR	0.9494	-	-	LINC01126,THADA	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:43231472	38072966	"Al-Ali AK"
rs1296697560-?	8E-8	-	NR	0.9519	-	-	THADA	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:43334791	38072966	"Al-Ali AK"
rs77552263-?	8E-7	-	NR	0.9294	-	-	THADA	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:43559679	38072966	"Al-Ali AK"
rs4245791-?	2E-7	-	NR	1.0426	-	-	ABCG8	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:43847292	38072966	"Al-Ali AK"
rs11125091-?	4E-6	-	NR	0.9594	-	-	LINC01118	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:46782607	38072966	"Al-Ali AK"
rs386645963-?	4E-6	-	NR	1.0399	-	-	NRXN1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:50195399	38072966	"Al-Ali AK"
rs10496099-?	1E-5	-	NR	0.9666	-	-	RSL24D1P2,EHBP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:62578767	38072966	"Al-Ali AK"
rs360797-?	1E-6	-	NR	1.0391	-	-	EHBP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:62715705	38072966	"Al-Ali AK"
rs7567923-?	5E-6	-	NR	0.9654	-	-	EHBP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:62858713	38072966	"Al-Ali AK"
rs2539978-?	4E-6	-	NR	0.9651	-	-	EHBP1-AS1,EHBP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:62968044	38072966	"Al-Ali AK"
rs2627855-?	4E-6	-	NR	1.0345	-	-	LINC02934	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	2:66073227	38072966	"Al-Ali AK"
chr11:28094952-?	7E-6	-	NR	0.5784	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:28225940-?	3E-6	-	NR	0.511	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:39894274-?	7E-6	-	NR	1.612	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:68890162-?	7E-6	-	NR	0.7265	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:69025799-?	6E-6	-	NR	0.7823	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:80958878-?	1E-5	-	NR	0.6033	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:86826934-?	2E-6	-	NR	0.8043	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:97487396-?	3E-8	-	NR	1.3286	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:99882392-?	2E-6	-	NR	0.3166	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:106174056-?	4E-6	-	NR	0.1956	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:131060281-?	8E-6	-	NR	0.2405	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr11:132497096-?	5E-6	-	NR	6.3964	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:4464458-?	2E-6	-	NR	0.7501	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:9063252-?	6E-6	-	NR	0.5744	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:9750669-?	6E-7	-	NR	1.2392	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:29899377-?	5E-7	-	NR	0.0551	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:63571390-?	5E-6	-	NR	2.0033	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:64702468-?	3E-6	-	NR	0.0227	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr12:96434062-?	5E-6	-	NR	0.0723	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr13:51675667-?	4E-6	-	NR	0.1773	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr13:75282465-?	5E-6	-	NR	1.3244	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr13:109604744-?	6E-6	-	NR	0.2826	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr13:113637946-?	6E-7	-	NR	0.2196	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr14:30894264-?	9E-6	-	NR	2.1681	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr14:75786982-?	2E-6	-	NR	1.4707	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr15:30126995-?	6E-6	-	NR	3.9225	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr15:50433085-?	1E-6	-	NR	1.2849	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr15:68934681-?	5E-6	-	NR	1.3551	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:7643613-?	3E-7	-	NR	2.7486	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:20319178-?	8E-6	-	NR	0.0802	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:24089769-?	6E-6	-	NR	0.0325	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:57543730-?	3E-6	-	NR	2.0384	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:76633643-?	7E-6	-	NR	1.3616	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:77759179-?	9E-6	-	NR	0.4988	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:78604420-?	3E-6	-	NR	1.9169	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr16:79510899-?	1E-6	-	NR	1.4398	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr17:14085650-?	6E-6	-	NR	0.8142	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr17:33123782-?	8E-7	-	NR	1.4884	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:1375388-?	1E-6	-	NR	0.193	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:7304508-?	3E-6	-	NR	0.6946	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:9240794-?	7E-6	-	NR	1.9655	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:10297784-?	2E-6	-	NR	1.2353	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:55617441-?	1E-6	-	NR	1.9605	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr18:62626605-?	9E-6	-	NR	0.4193	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr19:13690960-?	7E-6	-	NR	1.7726	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr19:23677777-?	5E-6	-	NR	16.2752	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr19:41037274-?	5E-6	-	NR	0.3544	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr19:49092551-?	8E-6	-	NR	0.7085	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr19:56670888-?	2E-6	-	NR	0.0475	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr20:40850262-?	1E-6	-	NR	0.7037	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:71543313-?	5E-6	-	NR	0.1408	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:71660515-?	2E-6	-	NR	0.1199	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:73840910-?	4E-6	-	NR	1.2906	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:77557637-?	5E-6	-	NR	1.2269	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:78367139-?	1E-5	-	NR	0.8026	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:108524416-?	1E-6	-	NR	0.682	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:109807779-?	4E-6	-	NR	0.0346	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:149238122-?	1E-6	-	NR	0.7574	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:166104716-?	7E-6	-	NR	0.3744	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr5:178701424-?	3E-6	-	NR	0.3639	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
